<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.04	00:00:00	312991.01	313094.03	310432.38	311097.42	3600	0	4500
2020.06.04	01:00:00	311114.44	311939.91	310275.20	311069.66	3600	0	4500
2020.06.04	02:00:00	311096.00	312619.49	310905.15	311727.52	3598	0	4500
2020.06.04	03:00:00	311743.49	312524.28	310792.14	311181.61	3600	0	4500
2020.06.04	04:00:00	311133.64	311373.61	309027.41	309675.97	3600	0	4500
2020.06.04	05:00:00	309672.32	309759.01	308264.19	309226.47	3600	0	4500
2020.06.04	06:00:00	309238.79	309963.61	308185.09	309756.85	3599	0	4500
2020.06.04	07:00:00	309702.24	312423.35	309239.11	311374.13	3600	0	4500
2020.06.04	08:00:00	311377.51	312170.71	310480.25	311942.47	3599	0	4500
2020.06.04	09:00:00	311926.16	312114.55	308777.84	309495.77	3599	0	4500
2020.06.04	10:00:00	309507.78	311464.76	309403.70	310717.11	3599	0	4500
2020.06.04	11:00:00	310684.24	310968.24	308385.28	309059.65	3600	0	4500
2020.06.04	12:00:00	309092.46	309531.72	307873.77	308368.20	3600	0	4500
2020.06.04	13:00:00	308345.79	309201.29	306913.69	306979.00	3599	0	4500
2020.06.04	14:00:00	307022.98	307336.33	302979.34	303129.19	3599	0	4500
2020.06.04	15:00:00	303163.78	303340.64	301500.31	302538.25	3600	0	4500
2020.06.04	16:00:00	302524.51	303524.31	301405.66	302623.89	3599	0	4500
2020.06.04	17:00:00	302638.29	303792.48	300561.38	300722.09	3600	0	4500
2020.06.04	18:00:00	300764.48	301197.11	299491.28	300623.84	3599	0	4500
2020.06.04	19:00:00	300633.77	303139.20	299243.69	303009.44	3600	0	4500
2020.06.04	20:00:00	303023.20	303120.96	296641.60	297197.37	3600	0	4500
2020.06.04	21:00:00	297185.55	297667.67	296172.45	296994.30	3600	0	4500
