<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.25	00:00:00	502396.60	503422.16	500950.50	503422.16	1800	0	5490
2022.03.25	00:30:00	503484.22	504369.63	502725.38	503559.73	1800	0	5490
2022.03.25	01:00:00	503520.09	504232.68	499334.19	499334.19	1800	0	5490
2022.03.25	01:30:00	499363.49	499887.92	497167.89	497297.22	1799	0	5490
2022.03.25	02:00:00	497298.83	499614.46	497255.78	497433.75	1800	0	5490
2022.03.25	02:30:00	497508.18	499984.33	495597.44	499508.07	1800	0	5490
2022.03.25	03:00:00	499558.18	500354.80	497636.83	497998.45	1800	0	5490
2022.03.25	03:30:00	497964.67	498468.52	495485.23	496544.78	1800	0	5490
2022.03.25	04:00:00	496589.66	496791.58	493782.64	495439.49	1800	0	5490
2022.03.25	04:30:00	495457.92	497833.36	495133.97	497012.34	1800	0	5490
2022.03.25	05:00:00	496948.84	497442.56	495016.26	495371.42	1800	0	5490
2022.03.25	05:30:00	495373.24	495440.78	492394.76	493243.10	1800	0	5490
2022.03.25	06:00:00	493231.59	493693.65	490685.01	492661.50	1800	0	5490
2022.03.25	06:30:00	492708.97	493101.74	489540.00	490110.58	1800	0	5490
2022.03.25	07:00:00	490068.83	493582.82	489560.16	492725.44	1799	0	5490
2022.03.25	07:30:00	492759.68	493404.11	491128.76	491624.33	1799	0	5490
2022.03.25	08:00:00	491698.00	492637.41	490618.86	492213.59	1800	0	5490
2022.03.25	08:30:00	492254.41	494416.31	491781.08	494228.00	1799	0	5490
2022.03.25	09:00:00	494122.27	495368.63	492814.27	492824.73	1800	0	5490
2022.03.25	09:30:00	492870.38	493383.28	491128.48	491551.27	1800	0	5490
2022.03.25	10:00:00	491565.95	494004.76	491524.75	493157.59	1800	0	5490
2022.03.25	10:30:00	493155.93	493753.96	491464.18	492922.90	1800	0	5490
2022.03.25	11:00:00	492884.83	495147.35	492720.72	494866.96	1800	0	5490
2022.03.25	11:30:00	494887.13	495560.48	493233.33	494309.25	1800	0	5490
2022.03.25	12:00:00	494365.31	496764.34	492801.10	493564.81	1800	0	5490
2022.03.25	12:30:00	493527.69	494267.01	492372.23	493159.58	1800	0	5490
2022.03.25	13:00:00	493149.98	493533.56	491334.40	492126.67	1800	0	5490
2022.03.25	13:30:00	492116.08	492326.48	488035.13	488911.78	1800	0	5490
2022.03.25	14:00:00	488929.04	490067.47	487830.83	489330.05	1800	0	5490
2022.03.25	14:30:00	489349.06	490406.76	487869.08	488847.02	1800	0	5490
2022.03.25	15:00:00	488857.93	489996.36	488523.98	488523.98	1799	0	5490
2022.03.25	15:30:00	488541.27	490776.63	487821.98	489847.44	1800	0	5490
2022.03.25	16:00:00	489849.88	490156.47	485137.29	485546.21	1800	0	5490
2022.03.25	16:30:00	485532.69	489395.75	485233.27	489395.75	1800	0	5490
2022.03.25	17:00:00	489412.92	490592.10	487776.40	488508.09	1800	0	5490
2022.03.25	17:30:00	488537.15	491104.61	487696.46	489784.52	1800	0	5490
2022.03.25	18:00:00	489810.82	490195.07	486683.71	487675.85	1800	0	5490
2022.03.25	18:30:00	487683.10	488020.94	485061.30	486052.47	1799	0	5490
2022.03.25	19:00:00	486070.99	486452.56	484604.91	485460.52	1800	0	5490
2022.03.25	19:30:00	485476.18	489005.45	484889.33	487781.03	1800	0	5490
2022.03.25	20:00:00	487774.80	489444.92	487177.73	489227.87	1800	0	5490
2022.03.25	20:30:00	489303.75	490724.74	488493.64	488959.79	1800	0	5490
2022.03.25	21:00:00	488967.34	490843.67	487945.88	490738.13	1800	0	5490
2022.03.25	21:30:00	490689.14	491498.19	488508.51	488702.93	1800	0	5490
2022.03.25	22:00:00	488731.61	489860.68	486204.42	486767.78	1800	0	5490
2022.03.25	22:30:00	486801.45	487427.16	485221.63	485898.90	1800	0	5490
2022.03.25	23:00:00	485935.87	487690.82	485378.04	487643.01	1800	0	5490
2022.03.25	23:30:00	487650.95	488191.25	485809.84	486124.73	1800	0	5490
2022.03.26	00:00:00	486081.69	486338.27	484175.82	486014.02	1800	0	5490
2022.03.26	00:30:00	486046.85	487004.12	484485.21	486059.95	1800	0	5490
2022.03.26	01:00:00	486073.37	487505.93	484777.86	484825.76	1800	0	5490
